award_a,award_b,jaccard,shared_works,works_a,works_b,shared_titles
HKM,KMS,0.1333,8,30,38,medium 霊媒探偵城塚翡翠; 地雷グリコ; 容疑者Xの献身; 屍人荘の殺人; 涙香迷宮
JRA,KMS,0.068,7,72,38,OUT; ジェノサイド; 伝説なき地; 地雷グリコ; 新宿鮫
HKM,JRA,0.0625,6,30,72,ミステリ・オペラ 宿命城殺人事件; 地雷グリコ; 大鞠家殺人事件; 葉桜の季節に君を想うということ; 蟬かえる
KMS,YAM,0.05,4,38,46,ゴールデンスランバー; 地雷グリコ; 満願; 砂のクロニクル
JRA,YAM,0.0351,4,72,46,エトロフ発緊急電; 地雷グリコ; 奪取; 果断 隠蔽捜査2
HOR,YAM,0.0169,1,14,46,ぼっけえ、きょうてえ
HON,KMS,0.0167,1,23,38,ゴールデンスランバー
HON,YAM,0.0147,1,23,46,ゴールデンスランバー
HKM,YAM,0.0133,1,30,46,地雷グリコ
KMS,NAO,0.0124,3,38,206,マークスの山; 私が殺した少女; 黒牢城
NAO,YAM,0.012,3,206,46,テスカトリポカ; 木挽町のあだ討ち; 邂逅の森
JSF,YAM,0.0095,1,60,46,ゲームの王国
JRA,JSF,0.0076,1,72,60,アラビアの夜の種族
HON,NAO,0.0044,1,23,206,蜜蜂と遠雷
HKM,NAO,0.0043,1,30,206,黒牢城
JRA,NAO,0.0036,1,72,206,カディスの赤い星
NAO,RAN,0.0035,1,206,81,テロリストのパラソル
AKU,HKM,0.0,0,188,30,
AKU,HON,0.0,0,188,23,
AKU,HOR,0.0,0,188,14,
AKU,JRA,0.0,0,188,72,
AKU,JSF,0.0,0,188,60,
AKU,KIK,0.0,0,188,63,
AKU,KMS,0.0,0,188,38,
AKU,NAO,0.0,0,188,206,
AKU,RAN,0.0,0,188,81,
AKU,YAM,0.0,0,188,46,
HKM,HON,0.0,0,30,23,
HKM,HOR,0.0,0,30,14,
HKM,JSF,0.0,0,30,60,
HKM,KIK,0.0,0,30,63,
HKM,RAN,0.0,0,30,81,
HON,HOR,0.0,0,23,14,
HON,JRA,0.0,0,23,72,
HON,JSF,0.0,0,23,60,
HON,KIK,0.0,0,23,63,
HON,RAN,0.0,0,23,81,
HOR,JRA,0.0,0,14,72,
HOR,JSF,0.0,0,14,60,
HOR,KIK,0.0,0,14,63,
HOR,KMS,0.0,0,14,38,
HOR,NAO,0.0,0,14,206,
HOR,RAN,0.0,0,14,81,
JRA,KIK,0.0,0,72,63,
JRA,RAN,0.0,0,72,81,
JSF,KIK,0.0,0,60,63,
JSF,KMS,0.0,0,60,38,
JSF,NAO,0.0,0,60,206,
JSF,RAN,0.0,0,60,81,
KIK,KMS,0.0,0,63,38,
KIK,NAO,0.0,0,63,206,
KIK,RAN,0.0,0,63,81,
KIK,YAM,0.0,0,63,46,
KMS,RAN,0.0,0,38,81,
RAN,YAM,0.0,0,81,46,
