cluster_id,cluster_name,award_id,award_name,rationale,max_internal_jaccard
mystery,ミステリ評価群,HKM,本格ミステリ大賞,本格ミステリ専門家による作品評価,0.133
mystery,ミステリ評価群,JRA,日本推理作家協会賞,業界専門家による推理小説評価,0.133
mystery,ミステリ評価群,KMS,このミステリーがすごい！,書評家・専門家によるランキング評価,0.133
mystery,ミステリ評価群,RAN,江戸川乱歩賞,ミステリ新人発掘賞（新人→プロキャリアの入口）,0.133
mystery,ミステリ評価群,YAM,山本周五郎賞,エンターテインメント文学の質を評価（ミステリと親和性高い）,0.133
literary,文芸・読者評価群,AKU,芥川賞,純文学・新人作家を評価,0.012
literary,文芸・読者評価群,NAO,直木賞,大衆文学・中堅作家を評価（ミステリ群との橋渡し作品多数）,0.012
literary,文芸・読者評価群,HON,本屋大賞,全国書店員による読者支持票,0.012
career,キャリア評価群,KIK,吉川英治文学賞,作家のキャリア・業績全体を評価（作品重複0%の理由）,0.000
sf,SF群,JSF,日本SF大賞,SF作家クラブによる年間最優秀SF作品（漫画・映画・アニメも対象）,0.000
horror,ホラー群,HOR,日本ホラー小説大賞,ホラー小説新人発掘賞（2018年終了）,0.000
literary,文芸・読者評価群,TAN,谷崎潤一郎賞,谷崎潤一郎賞（純文学の完成度・文体を評価する伝統ある文学賞）,0.012
literary,文芸・読者評価群,MIS,三島由紀夫賞,三島由紀夫賞（実験的・先鋭的な純文学作品を評価する賞）,0.012
literary,文芸・読者評価群,YOM,読売文学賞,読売文学賞（小説賞部門のみ取り込み（戯曲・随筆・評論・詩歌・研究翻訳の各部門は対象外））,0.012
literary,文芸・読者評価群,NOM,野間文芸賞,野間文芸賞（純文学の円熟した業績を評価する伝統ある文学賞）,0.012
