work_id,title,author,award_count,awards,first_award_year,latest_award_year
PLAM-000216,カディスの赤い星,逢坂剛,2,"JRA,NAO",1986,1987
PLAM-000227,私が殺した少女,原尞,2,"KMS,NAO",1989,1989
PLAM-000237,マークスの山,高村薫,2,"KMS,NAO",1993,1994
PLAM-000276,テロリストのパラソル,藤原伊織,2,"NAO,RAN",1995,1995
PLAM-000299,邂逅の森,熊谷達也,2,"NAO,YAM",2004,2004
PLAM-000370,蜜蜂と遠雷,恩田陸,2,"HON,NAO",2016,2017
PLAM-000379,テスカトリポカ,佐藤究,2,"NAO,YAM",2021,2021
PLAM-000382,黒牢城,米澤穂信,3,"HKM,KMS,NAO",2021,2022
PLAM-000387,木挽町のあだ討ち,永井紗耶子,2,"NAO,YAM",2023,2023
PLAM-000399,ゴールデンスランバー,伊坂幸太郎,3,"HON,KMS,YAM",2008,2009
PLAM-000512,伝説なき地,船戸与一,2,"JRA,KMS",1988,1989
PLAM-000513,エトロフ発緊急電,佐々木譲,2,"JRA,YAM",1990,1990
PLAM-000514,新宿鮫,大沢在昌,2,"JRA,KMS",1991,1991
PLAM-000523,奪取,真保裕一,2,"JRA,YAM",1997,1997
PLAM-000524,OUT,桐野夏生,2,"JRA,KMS",1998,1998
PLAM-000528,永遠の仔,天童荒太,2,"JRA,KMS",2000,2000
PLAM-000532,ミステリ・オペラ 宿命城殺人事件,山田正紀,2,"HKM,JRA",2002,2002
PLAM-000537,葉桜の季節に君を想うということ,歌野晶午,3,"HKM,JRA,KMS",2004,2004
PLAM-000542,果断 隠蔽捜査2,今野敏,2,"JRA,YAM",2008,2008
PLAM-000547,隻眼の少女,麻耶雄嵩,2,"HKM,JRA",2011,2011
PLAM-000549,ジェノサイド,高野和明,2,"JRA,KMS",2012,2012
PLAM-000560,蟬かえる,櫻田智也,2,"HKM,JRA",2021,2021
PLAM-000561,大鞠家殺人事件,芦辺拓,2,"HKM,JRA",2022,2022
PLAM-000564,地雷グリコ,青崎有吾,4,"HKM,JRA,KMS,YAM",2024,2025
PLAM-000571,生首に聞いてみろ,法月綸太郎,2,"HKM,KMS",2005,2005
PLAM-000572,容疑者Xの献身,東野圭吾,2,"HKM,KMS",2006,2006
PLAM-000584,涙香迷宮,竹本健治,2,"HKM,KMS",2017,2017
PLAM-000585,屍人荘の殺人,今村昌弘,2,"HKM,KMS",2018,2018
PLAM-000587,medium 霊媒探偵城塚翡翠,相沢沙呼,2,"HKM,KMS",2020,2020
PLAM-000594,砂のクロニクル,船戸与一,2,"KMS,YAM",1992,1993
PLAM-000619,満願,米澤穂信,2,"KMS,YAM",2014,2015
